GeneID	GSM6255117	GSM6255118	GSM6255120	GSM6255121	GSM6255122	GSM6255123	GSM6255124
84328	816	1549	823	518	467	413	558
64802	682	1045	601	265	211	173	270
113391335	0	1	0	0	0	0	0
100847055	0	0	0	0	0	0	0
116362	30	56	22	78	122	68	80
10277	1993	2981	1378	1325	717	391	487
23095	2382	4260	4380	992	601	893	1183
105376725	0	0	0	0	0	0	0
5226	30958	39395	36485	26856	24634	19977	24214
100526739	43	50	33	77	69	51	67
378708	48	61	36	79	73	51	67
1325	1	5	0	2	1	5	3
1676	1017	1625	893	399	498	482	540
5195	1201	1315	1201	823	817	581	656
54897	27	25	415	9	11	22	38
105376733	0	0	0	0	0	0	0
105376735	0	0	0	0	0	0	0
148345	43	56	48	50	55	29	29
23435	3778	5545	4675	2078	1839	1538	1781
10747	3	12	8	1	1	1	3
6723	3048	3597	1660	1224	1424	993	1182
5394	1764	2526	2245	626	422	401	535
105376736	55	75	71	64	51	62	61
2475	1314	2237	1521	409	307	207	325
100873935	22	36	24	8	7	3	3
10218	0	0	1	0	0	0	0
29914	481	650	489	656	587	273	420
105376737	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0
57540	0	1	0	0	0	0	1
112268221	0	0	0	0	0	0	0
101929181	0	0	0	0	0	0	0
26232	2	2	6	21	19	16	23
93611	195	245	211	348	363	244	341
26270	692	818	5046	472	708	4307	4736
10459	480	598	459	1163	1359	1278	1371
374946	85	109	70	53	43	37	23
57085	2176	2419	4261	3839	3609	3634	3672
284498	342	411	341	155	108	80	90
102724659	0	0	0	0	0	0	0
4524	1342	1960	1509	699	536	397	431
1185	751	846	659	258	239	180	185
100379251	80	105	65	30	22	12	21
4878	7	5	5	0	0	0	0
4879	0	0	1	1	1	0	1
26829	2	0	0	0	0	0	0
90231	2895	3311	3698	3322	3225	2499	2773
5351	4866	7358	5289	3644	3385	2059	2340
9927	5205	7054	4397	3933	3239	2310	2598
60672	682	692	1806	497	557	938	1112
102466982	2	2	5	1	0	1	0
943	21	24	9	22	33	15	18
102465836	139	124	173	122	117	62	72
7133	11922	11809	11605	5795	5561	3249	4333
100616438	1	1	2	0	0	0	0
107984917	1	7	0	4	3	0	2
55187	1026	1754	1349	375	238	241	385
677885	6	2	10	0	1	1	5
105376744	7	9	1	6	13	2	6
9249	2617	1717	4371	3700	4527	6111	7958
102466722	4	0	2	1	0	1	0
343066	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0
93190	0	0	0	0	0	0	0
390999	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0
343069	0	0	0	0	0	0	0
65122	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0
649330	0	0	0	0	0	0	0
441873	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0
440563	0	0	0	0	0	0	0
645354	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0
101060301	0	0	0	0	0	0	0
343070	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0
126755	0	2	1	0	0	0	0
102724856	0	0	0	0	0	0	0
107984918	0	0	0	0	0	0	0
10630	170	294	121	356	156	179	166
107984919	0	0	0	0	0	0	0
105378612	0	0	0	0	0	0	0
105376756	0	0	0	0	0	0	0
7799	634	1053	1049	191	75	60	91
23254	337	428	122	181	207	87	136
107985467	0	0	0	0	0	0	0
107985468	0	0	0	0	0	0	0
105376762	0	0	0	0	0	0	0
105376759	0	0	0	0	2	0	0
107985469	0	0	0	0	0	0	0
200197	35	34	82	36	14	32	33
55092	1972	2260	3501	1702	1801	2563	3516
727684	0	2	1	0	1	0	0
114827	26	24	21	27	17	12	22
101927417	4	10	6	5	2	4	12
101927441	8	6	4	23	30	18	22
79180	19785	21572	14310	11176	14776	10663	12066
11330	0	0	0	0	0	0	0
63036	0	0	0	0	0	0	2
105376767	0	0	0	0	0	0	0
51032	3	3	2	0	1	0	0
842	397	513	399	626	666	562	607
23341	492	1008	799	252	167	145	189
107397391	0	0	0	0	0	0	0
79814	7	4	23	3	1	6	3
84301	1608	2970	2114	1020	509	588	765
6248	272	506	531	198	111	143	154
23207	8007	8809	12045	3061	2793	2208	2934
284723	47	43	140	1	2	0	1
110806303	4	3	7	0	0	0	0
388595	0	0	0	0	0	0	0
54751	55	118	72	75	21	8	12
440567	102	106	70	404	485	479	510
729614	46	99	61	47	22	19	10
23013	1545	2436	2746	173	95	84	258
7709	1099	1145	1389	191	175	128	140
149563	0	0	0	0	0	0	0
27129	21	17	23	1871	1280	1839	1290
1187	6	0	10	14	3	9	5
1188	1	0	1	2	0	0	0
348487	0	0	0	0	0	0	0
1969	127	96	60	54	84	23	60
101927479	0	1	1	2	1	2	0
128272	24	38	172	26	27	72	83
101927546	25	35	2123	11	34	487	646
79363	48	47	108	57	62	41	64
54455	1178	1652	1279	1067	982	670	965
26099	4432	5093	5786	4871	4395	4233	4475
374955	2382	2656	2572	2422	1905	1810	1960
55707	6498	8350	11323	8001	8645	10213	13386
107984921	10	14	9	9	0	1	2
114819	17	31	33	3	2	1	3
26871	1	1	0	1	2	0	1
107985757	0	0	0	0	0	0	0
100132147	0	0	0	0	0	0	0
107985758	0	0	0	0	0	0	0
7195	1	0	0	0	0	0	0
55672	698	1197	599	142	116	50	119
105376794	90	113	100	10	5	5	3
84809	79	77	87	6	4	2	9
11209	3	1	7	1	2	1	0
107985736	1	2	1	1	0	0	0
26869	1	0	0	1	2	0	0
107985759	0	0	0	0	0	0	0
284729	0	0	0	0	0	0	0
100189045	0	0	0	0	0	0	0
6060	1	1	0	0	2	0	0
11223	3	4	3	0	0	0	0
100500876	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0
112267871	0	0	0	0	0	0	0
7193	0	0	0	0	0	0	0
100189183	0	0	0	0	0	0	0
105376805	96	135	98	232	362	241	313
791226	0	0	0	1	0	0	0
26870	1	0	0	2	3	0	1
9696	73	109	201	20	12	6	18
4237	0	1	2	8	29	5	48
105376806	0	1	0	1	7	3	11
23400	1293	1613	2897	550	683	460	613
6390	2563	3698	2470	7008	6815	6284	7303
11240	250	335	211	306	1278	327	1312
105376808	0	0	0	0	0	0	0
400743	0	0	0	0	0	0	0
29943	0	0	0	0	1	0	0
51702	0	0	0	0	0	0	0
100616188	0	0	0	0	0	0	0
23569	0	2	0	2	12	4	16
353238	0	0	0	0	0	0	0
55920	4837	5488	5670	1497	1375	1363	1414
55160	4677	4094	7088	546	656	628	1026
107984028	0	0	0	0	0	0	0
81569	1	1	2	0	0	0	0
105376809	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0
84966	65	66	72	311	555	241	567
105376814	0	0	0	0	0	0	0
127707	1	11	0	0	1	0	1
5081	0	0	0	1	1	0	1
80834	0	0	0	0	0	0	0
8659	968	1543	797	1580	2412	1277	2013
100616120	0	0	0	0	0	0	0
100302276	0	0	0	0	0	0	0
126917	288	404	252	49	55	26	22
105376815	0	0	0	0	0	0	0
23352	3722	5835	7034	683	613	567	812
101927895	88	137	104	66	55	51	57
23065	2473	3720	2278	1297	1034	901	1047
51154	2514	3204	1393	1816	1680	1210	1358
246181	1	5	5	2	0	2	2
22977	3	6	2	3	6	4	3
100506730	33	45	11	2	4	1	3
8574	1840	2385	1326	5634	6213	6048	6231
54896	1956	2039	1267	2052	1982	1113	1163
832	11084	14493	12056	7196	8551	7221	8408
105376819	3	6	3	4	3	3	6
105376818	5	5	0	16	12	10	14
105376817	3	5	3	7	7	6	10
105378614	0	0	0	0	1	0	2
440574	1280	1807	994	2595	2899	2979	3232
100532736	1002	982	1145	1255	1487	1317	1461
644068	4	8	3	58	32	39	57
4681	639	511	861	450	582	372	461
3362	0	0	0	0	0	0	0
255104	134	270	280	150	140	106	135
54546	0	0	0	0	0	0	0
105376823	0	0	0	0	0	0	0
23252	97	171	63	28	16	5	9
30814	0	0	0	0	0	0	0
5320	0	0	0	0	1	0	0
5322	1	0	0	9	6	9	9
26279	54	22	123	3	16	10	13
64600	0	0	0	0	0	0	0
391013	2	0	5	13	7	14	12
127733	1	0	4	116	54	28	27
101928017	1	0	2	36	7	16	25
105376825	0	0	0	0	0	0	0
105376826	0	0	0	0	0	0	0
105376827	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0
127731	0	0	0	0	0	0	0
339505	0	0	0	0	0	0	0
55450	0	1	3	0	6	0	4
79594	1415	1820	1368	2596	2470	1484	1862
163933	0	0	0	1	0	0	1
978	186	218	128	1221	1196	657	1335
65018	1269	1834	650	2256	2482	1695	2173
102464833	92	134	41	214	269	145	211
100861548	1466	2231	1087	1891	1834	1449	1707
1650	10945	15059	11381	13980	14279	12132	12418
57576	136	252	274	50	47	30	28
400745	2	1	10	0	1	0	0
112268222	259	542	332	206	164	142	190
50809	1228	2419	1658	967	868	763	1101
8672	2037	3724	2182	284	184	185	402
105376830	0	3	0	0	0	0	0
105376829	0	0	0	0	0	0	0
100302155	0	0	0	0	0	0	0
1889	73	102	69	166	105	61	106
100506801	0	0	0	0	0	0	0
105376832	0	0	0	0	0	0	0
84224	134	235	77	15	18	9	17
249	45	71	12	37	54	24	29
105376834	0	0	1	0	0	0	0
5909	125	131	33	1163	448	176	422
84196	716	1298	1054	391	286	204	288
401944	51	61	22	15	4	6	12
3339	184	310	172	176	79	104	175
23436	0	0	0	0	0	0	0
10136	0	0	0	0	0	0	0
101928043	3	4	5	19	23	12	21
29092	145	297	187	600	594	366	495
112268223	7	10	5	21	10	13	17
998	9767	15692	10874	22012	23483	22761	27887
54361	8	1	3	0	0	0	3
105376845	1	0	1	0	1	0	0
105376850	0	0	0	0	0	0	0
107985377	0	0	0	0	0	0	0
100616433	0	0	0	0	0	0	0
105376856	0	0	0	0	0	0	0
9923	777	1083	820	123	116	42	107
2046	4	1	0	3	2	1	2
102466615	0	0	0	0	0	0	0
712	21104	20282	41416	16608	30035	12852	22179
714	30444	35590	64349	11991	18196	11973	21146
713	31773	38139	74615	8118	11952	6931	8534
2048	1247	1081	7451	220	267	621	822
100616391	0	0	0	0	0	0	0
100422914	20	30	176	8	4	24	33
646262	0	0	0	0	0	0	0
729059	0	0	1	0	0	0	0
23028	931	1361	823	571	459	360	530
100422866	0	0	0	0	0	0	0
7798	1929	2989	2731	466	335	259	503
3352	0	2	1	1	0	1	0
100996511	6	18	10	0	0	0	0
10236	2349	3492	3413	1629	1244	1022	1315
80818	181	261	185	252	203	101	148
148898	7	14	7	28	32	31	26
6920	2	1	0	3	4	3	4
55616	4	2	10	0	1	1	2
1870	4	22	0	7	7	2	4
101928163	0	1	0	0	0	0	0
105376859	0	2	0	4	2	0	2
3399	895	1094	817	2702	2551	2173	2656
107984928	1	2	1	2	3	4	12
259283	0	0	0	0	0	0	0
6135	11141	13999	10937	33553	36272	33316	38425
6924	2714	3894	3532	762	603	437	570
100506963	214	287	270	50	45	29	42
57095	1698	2236	1287	1874	1978	1116	1352
105376860	271	322	228	321	353	250	257
11313	3372	3662	2579	3000	3708	2510	2593
2582	1596	1993	850	2418	2911	2137	2414
3155	1447	2193	1965	3126	3508	2815	3793
105376861	0	1	2	27	30	38	23
2517	7194	13259	8663	18417	30005	12276	29228
1269	1	2	1	4	17	3	5
107984929	0	0	1	4	4	1	2
100616492	0	0	0	0	0	0	0
55629	1725	2899	3537	1679	1344	2271	2719
10772	1517	2859	1458	1948	1548	1466	1500
105378615	0	0	0	0	0	0	0
105376863	0	0	0	6	6	4	9
107984931	0	0	0	0	0	0	1
127294	0	0	0	0	1	0	1
107985737	0	0	0	0	0	0	0
105376864	0	0	0	0	0	0	0
58985	0	0	1	0	0	0	0
163702	788	1081	1099	467	485	764	790
284632	0	1	0	0	0	0	0
105376871	0	1	0	2	0	0	0
57822	3	2	7	3	16	4	7
90529	66	96	34	53	42	41	41
57185	330	524	435	548	486	408	494
100750325	0	1	3	6	8	3	5
11123	374	781	488	289	279	393	409
100506985	13	59	10	6	4	1	4
400746	0	0	0	0	0	0	0
10250	1556	2429	1854	156	133	55	167
25932	5313	11092	17438	8517	4896	8459	8950
105376876	0	0	0	0	0	0	0
864	1882	1994	6202	844	1111	1339	2062
102465437	0	1	3	0	0	0	1
107984932	0	1	6	1	4	6	6
105376878	8	17	8	3	12	4	7
100616365	0	0	0	0	0	0	0
105376879	0	0	0	0	0	0	0
25949	805	1303	952	1967	1167	891	1115
57035	388	629	761	93	120	113	126
105376882	0	0	0	0	1	0	0
6007	7	7	8	3	3	2	4
23585	2628	3670	7626	5609	5810	7560	8818
6006	1285	2019	3623	2842	2495	3235	3596
55219	774	1160	619	446	315	165	213
26119	905	1052	334	1649	1898	1011	1248
57134	953	1213	1142	1143	1058	849	1262
57190	11920	16304	14174	13345	7149	6655	8402
56181	1160	1559	720	1808	2017	1342	1615
646471	142	140	120	200	238	159	203
79000	202	287	102	331	342	247	297
164091	232	335	124	185	191	63	57
3925	886	1553	564	1037	834	907	859
100500808	43	45	25	37	31	35	25
105376885	1	0	0	0	0	0	0
5051	1539	2346	1177	2410	2100	1221	1486
101928216	13	7	7	33	46	22	46
2134	55	49	24	139	144	51	91
7780	99	104	66	67	223	30	92
105376910	0	0	0	0	0	0	0
84676	0	0	2	0	1	0	0
149420	182	358	171	329	199	129	215
105376886	0	0	0	0	0	0	0
79927	0	0	0	0	0	0	0
110806296	0	0	0	0	0	3	0
51042	676	543	553	850	934	717	856
10256	1	2	0	0	0	0	1
378807	0	0	0	0	0	0	0
101928303	12	7	2	27	26	12	19
64793	726	975	700	660	715	500	481
83442	55498	72293	52359	56133	62241	53162	59753
91544	3610	6378	2687	11340	12440	11257	11688
1043	8487	16392	6262	28813	33416	30196	32787
55057	2	6	2	6	1	5	1
257101	0	0	0	0	0	1	1
79727	0	3	12	0	0	2	0
79947	1476	2042	1924	1146	1140	740	918
101928324	8	3	5	1	11	5	3
3151	4215	5642	4976	7297	6594	5430	7639
6195	10183	13222	5360	17199	14666	8874	10348
100302190	2	1	1	2	5	4	2
105376888	0	0	1	0	0	0	0
101928728	11	13	12	2	1	3	2
8289	2147	3130	4073	384	261	220	481
55650	355	542	553	817	798	804	893
84243	1589	2036	1102	1383	1399	804	1054
2810	0	2	0	1	4	0	1
54707	765	887	853	361	366	306	374
63906	528	623	697	522	509	389	438
10726	3236	3874	3000	1022	821	590	745
8431	1	0	3	0	0	1	2
126695	0	0	0	0	1	0	1
388610	34	46	10	37	59	69	61
115572	3	0	1	0	5	2	4
101928391	0	0	1	1	0	0	0
6548	1490	1740	1734	823	752	416	805
102723760	0	0	0	0	0	0	0
105376890	0	0	1	0	0	0	0
23038	1286	1677	807	1353	1358	727	1007
84065	1767	1651	1445	1491	1424	1094	1188
644961	4	13	4	6	2	2	2
84958	28	26	17	398	315	234	300
9064	210	301	756	108	106	136	173
8547	0	0	0	0	0	0	0
388611	0	0	0	1	0	0	0
2827	28	53	18	23	13	13	9
10163	9330	13455	21251	5518	4244	4193	5946
105376892	7	21	13	55	93	44	74
27245	1128	1500	1236	169	168	59	175
2268	10363	14109	6415	8664	10468	8559	9809
111216282	6	5	20	2	4	9	9
2537	10832	8092	129887	18115	13355	18506	17482
199870	173	302	207	182	167	135	178
23673	3135	5344	5057	3916	3477	4023	5653
5511	1362	1841	1464	1736	1511	1186	1550
677774	0	0	0	0	0	0	0
9473	3552	4111	8626	6162	3692	3677	5996
6118	1693	2343	1922	2590	2352	1742	2214
27293	0	0	0	1	1	3	2
55113	300	414	412	679	683	469	425
2140	1509	2012	1067	478	418	293	371
5724	7768	9367	11034	9162	6977	4757	7781
22826	3049	4000	2289	2757	2706	2248	2824
93974	1297	1631	997	2792	4021	3340	4516
83667	1436	1709	1064	2735	2006	603	1015
54797	675	881	905	83	61	86	116
65979	747	1040	4109	62	32	142	205
1104	1030	1273	474	767	654	398	407
8420	281	392	134	424	177	144	112
6080	19	17	3	4	9	2	1
26768	16	29	7	1	5	0	5
54952	433	552	542	903	893	800	1071
85028	285	362	211	500	130	102	148
692212	13	29	15	0	0	0	0
677838	28	56	22	20	33	27	33
677825	25	21	15	2	1	0	2
692073	14	33	14	1	0	2	2
115273	1288	1904	565	2345	3283	1228	1898
6883	853	1234	672	1594	1681	1161	1385
105378616	2	11	5	8	5	2	2
26824	0	0	0	0	0	0	0
10691	533	658	438	125	99	94	98
51441	2125	3236	2807	1588	1432	1298	1523
4985	10	3	3	1	6	3	3
2035	1095	1829	1134	252	197	162	218
399474	122	173	79	23	17	9	18
6429	1864	2554	3143	835	652	761	1115
51102	402	548	348	508	610	535	549
10076	2	15	97	15	25	22	31
101928460	0	0	0	0	0	0	0
107984933	0	0	0	0	0	0	0
107984934	0	0	0	0	4	0	0
101929406	0	0	0	0	0	0	0
105378617	0	0	0	0	0	0	0
105378618	0	0	0	0	0	0	0
4146	8	8	10	7	5	2	1
100129196	13	12	21	6	2	1	1
7805	86894	123635	124132	167491	141908	103010	129369
100616164	1	4	4	0	0	0	1
105378620	33	48	87	90	201	26	52
105378621	0	0	0	0	0	0	0
105378622	0	0	0	1	0	0	0
400748	0	0	0	0	0	0	0
9672	3064	3179	8271	870	632	417	796
9698	2024	3023	3415	829	575	512	840
692234	1	2	2	0	1	0	0
692235	0	1	1	2	1	1	0
692200	0	0	0	0	0	0	2
107984935	3	2	3	4	8	4	10
79570	3	2	1012	1	3	107	98
9410	1044	1197	878	892	885	631	727
51538	881	1236	773	1739	1803	1434	1723
2170	3301	4047	2111	7164	12330	11362	12075
105378623	0	0	0	1	0	0	0
107985470	0	0	0	0	0	0	1
347735	886	891	860	813	1370	648	1134
105378625	0	0	0	0	0	0	0
105379772	0	0	0	23	44	24	36
149086	0	0	0	0	2	0	0
284551	0	0	0	1	0	0	1
105378626	0	2	0	3	0	1	0
64129	1	0	0	2	1	2	0
3061	165	154	195	208	169	185	198
553115	2123	2491	2751	2441	2230	2381	2483
107985471	53	46	54	66	61	58	56
105378628	0	1	0	0	0	0	0
1307	1	0	3	0	0	1	4
